URL,PullNo,Participants,CommitHash,Analysis
https://github.com/scikit-learn/scikit-learn,14,6,1689be045929405c0f570d1f574d89adc1f0cf37,"{""quality"": ""3.30"", ""num_modules"": 125, ""warnings"": 3974}"
https://github.com/scikit-learn/scikit-learn,14,6,08c3a68b1affdae77028195107bbb8752eec1e86,"{""quality"": ""3.30"", ""num_modules"": 125, ""warnings"": 3974}"
https://github.com/scikit-learn/scikit-learn,14,6,1b98de4874bc8d4a726eec3c9dc07f4fc5cc8f78,"{""quality"": ""3.30"", ""num_modules"": 125, ""warnings"": 3974}"
https://github.com/scikit-learn/scikit-learn,14,6,cd765529ae44653099ac4e0c5f7caddbae38e58c,"{""quality"": ""3.17"", ""num_modules"": 130, ""warnings"": 4144}"
https://github.com/scikit-learn/scikit-learn,14,6,011e0c21df1ce06ae74e954ca554a78de8298f90,"{""quality"": ""3.19"", ""num_modules"": 130, ""warnings"": 4144}"
https://github.com/scikit-learn/scikit-learn,14,6,7dcad4a40220768fbbd59f90e21a6bae47b6ecc9,"{""quality"": ""3.19"", ""num_modules"": 130, ""warnings"": 4144}"
https://github.com/scikit-learn/scikit-learn,14,6,e8619daa901e59f0d2e06563f96d39fd08a84715,"{""quality"": ""3.20"", ""num_modules"": 129, ""warnings"": 4123}"
https://github.com/scikit-learn/scikit-learn,14,6,6e474fe7dffea57adea8d5fba4677f0c0ccb2b49,"{""quality"": ""3.20"", ""num_modules"": 129, ""warnings"": 4123}"
https://github.com/scikit-learn/scikit-learn,14,6,dd637c2497d3208af0ee5a0171a5074bccbc98d3,"{""quality"": ""3.20"", ""num_modules"": 129, ""warnings"": 4123}"
https://github.com/scikit-learn/scikit-learn,14,6,dbfd17ba792a1374e9201b1dbea2f890aea22744,"{""quality"": ""3.20"", ""num_modules"": 129, ""warnings"": 4163}"
https://github.com/scikit-learn/scikit-learn,14,6,b89c762df8522552ce5f99e963c852804651d74e,"{""quality"": ""3.20"", ""num_modules"": 129, ""warnings"": 4163}"
https://github.com/scikit-learn/scikit-learn,14,6,5077393d5fe51baa962f2fd2507cadb47ebfb1ec,"{""quality"": ""3.38"", ""num_modules"": 129, ""warnings"": 4163}"
https://github.com/scikit-learn/scikit-learn,14,6,d81d52dffef9be4f71785aeca22d1c81ee3bc617,"{""quality"": ""3.38"", ""num_modules"": 129, ""warnings"": 4163}"
https://github.com/scikit-learn/scikit-learn,14,6,68036a729b4fc8a903c690e31b2f0fd3a7727442,"{""quality"": ""3.38"", ""num_modules"": 129, ""warnings"": 4163}"
https://github.com/scikit-learn/scikit-learn,14,6,7efcff49a721872236badb42fc3f822629f9a6a8,"{""quality"": ""3.38"", ""num_modules"": 129, ""warnings"": 4163}"
https://github.com/scikit-learn/scikit-learn,14,6,dc1c7e7eefcf04c01376065c48ba1921e5d6fd22,"{""quality"": ""3.38"", ""num_modules"": 129, ""warnings"": 4163}"
https://github.com/scikit-learn/scikit-learn,14,6,264a7897f64c0ad234af5fa467efe7b419a6b36f,"{""quality"": ""3.38"", ""num_modules"": 129, ""warnings"": 4163}"
https://github.com/scikit-learn/scikit-learn,14,6,8993f8aa3533f5fe057cf90f95867bdd9b5a0b52,"{""quality"": ""3.38"", ""num_modules"": 129, ""warnings"": 4163}"
https://github.com/scikit-learn/scikit-learn,14,6,5233f8ede43db42f31b40f10251348ab781c9daa,"{""quality"": ""3.38"", ""num_modules"": 129, ""warnings"": 4163}"
https://github.com/scikit-learn/scikit-learn,14,6,8fbc77076967dac26d1f40d4cdf8e628ae2eb6cf,"{""quality"": ""3.41"", ""num_modules"": 129, ""warnings"": 4194}"
https://github.com/scikit-learn/scikit-learn,14,6,a95fd66b20d81cbf4a02ea895ec4e0ea83db3d6a,"{""quality"": ""3.41"", ""num_modules"": 129, ""warnings"": 4194}"
https://github.com/scikit-learn/scikit-learn,14,6,30b89583abb9caee891f38cadb69d37b1cfe6f60,"{""quality"": ""3.41"", ""num_modules"": 129, ""warnings"": 4194}"
https://github.com/scikit-learn/scikit-learn,14,6,b80b6bbd58773e681c0339d3dcbfdc5f5ddaa9a2,"{""quality"": ""3.41"", ""num_modules"": 129, ""warnings"": 4194}"
https://github.com/scikit-learn/scikit-learn,14,6,ea9bce71a7f4cbc00de093e4af9ab726e6806148,"{""quality"": ""3.41"", ""num_modules"": 129, ""warnings"": 4194}"
https://github.com/scikit-learn/scikit-learn,14,6,a51658729d6c5ba449f966ee3001f82c405141c6,"{""quality"": ""3.41"", ""num_modules"": 129, ""warnings"": 4194}"
https://github.com/scikit-learn/scikit-learn,14,6,4bc781b54c0ac1598a9ed013b7aab571023bda41,"{""quality"": ""3.41"", ""num_modules"": 129, ""warnings"": 4194}"
https://github.com/scikit-learn/scikit-learn,14,6,d739aa96d451616f4e43d6a590084e82b714173c,"{""quality"": ""3.41"", ""num_modules"": 129, ""warnings"": 4194}"
https://github.com/scikit-learn/scikit-learn,14,6,d2ec8a36d85d7fd821a6f770210fcc0785db4f12,"{""quality"": ""3.57"", ""num_modules"": 148, ""warnings"": 5049}"
https://github.com/scikit-learn/scikit-learn,14,6,4d8dff6b11c665e9b206c6a5dfede0faf8781bf7,"{""quality"": ""3.57"", ""num_modules"": 148, ""warnings"": 5049}"
