URL,PullNo,Participants,Quality
https://github.com/scikit-learn/scikit-learn,14,6,0.27
https://github.com/scikit-learn/scikit-learn,23,5,0.0
https://github.com/scikit-learn/scikit-learn,29,3,0.48
https://github.com/scikit-learn/scikit-learn,30,3,0.010000000000000231
https://github.com/scikit-learn/scikit-learn,42,4,-0.009999999999999787
https://github.com/scikit-learn/scikit-learn,54,3,0.020000000000000018
https://github.com/scikit-learn/scikit-learn,57,5,0.08000000000000007
https://github.com/scikit-learn/scikit-learn,85,2,0.0
https://github.com/scikit-learn/scikit-learn,86,3,0.009999999999999787
https://github.com/scikit-learn/scikit-learn,92,2,0.019999999999999574
