URL,PullNo,Participants,Quality
https://github.com/httpie/httpie,45,2,0.17999999999999972
https://github.com/httpie/httpie,171,2,0.009999999999999787
https://github.com/httpie/httpie,568,5,0.040000000000000036
https://github.com/httpie/httpie,739,3,0.04999999999999982
https://github.com/httpie/httpie,927,2,0.0
https://github.com/httpie/httpie,929,3,-0.009999999999999787
https://github.com/httpie/httpie,932,3,-0.009999999999999787
https://github.com/httpie/httpie,1029,3,0.0
https://github.com/httpie/httpie,1094,4,0.019999999999999574
https://github.com/httpie/httpie,1175,5,0.0
https://github.com/httpie/httpie,1226,4,0.03999999999999915
https://github.com/httpie/httpie,1238,3,0.0
https://github.com/httpie/httpie,1241,3,0.030000000000001137
https://github.com/httpie/httpie,1244,3,0.0
https://github.com/httpie/httpie,1256,5,0.0
https://github.com/httpie/httpie,1260,3,0.009999999999999787
