URL,PullNo,Participants,Quality
https://github.com/scrapy/scrapy,177,2,-0.020000000000000462
https://github.com/scrapy/scrapy,234,2,0.0
https://github.com/scrapy/scrapy,339,2,0.019999999999999574
https://github.com/scrapy/scrapy,343,4,0.0
https://github.com/scrapy/scrapy,363,2,0.0
https://github.com/scrapy/scrapy,370,4,-0.010000000000000231
https://github.com/scrapy/scrapy,397,9,0.0
https://github.com/scrapy/scrapy,426,7,0.040000000000000036
https://github.com/scrapy/scrapy,431,3,0.020000000000000462
https://github.com/scrapy/scrapy,472,4,0.0
https://github.com/scrapy/scrapy,490,3,0.020000000000000462
https://github.com/scrapy/scrapy,519,4,-0.08000000000000007
https://github.com/scrapy/scrapy,525,5,0.0
https://github.com/scrapy/scrapy,535,5,0.0
https://github.com/scrapy/scrapy,679,3,0.0
https://github.com/scrapy/scrapy,690,4,0.0
https://github.com/scrapy/scrapy,737,2,0.040000000000000036
https://github.com/scrapy/scrapy,779,3,0.0
https://github.com/scrapy/scrapy,803,3,0.009999999999999787
https://github.com/scrapy/scrapy,816,6,0.0
https://github.com/scrapy/scrapy,946,5,0.0
https://github.com/scrapy/scrapy,1060,8,0.020000000000000462
https://github.com/scrapy/scrapy,1089,4,0.0
https://github.com/scrapy/scrapy,1123,4,0.0
https://github.com/scrapy/scrapy,1137,4,0.020000000000000462
https://github.com/scrapy/scrapy,1166,3,0.0
https://github.com/scrapy/scrapy,1181,3,-0.09000000000000075
https://github.com/scrapy/scrapy,1190,2,0.010000000000000675
https://github.com/scrapy/scrapy,1224,5,0.0
https://github.com/scrapy/scrapy,1282,3,0.010000000000000675
https://github.com/scrapy/scrapy,1286,2,0.0
https://github.com/scrapy/scrapy,1467,6,0.0
https://github.com/scrapy/scrapy,1498,5,0.0
https://github.com/scrapy/scrapy,1499,8,0.019999999999999574
https://github.com/scrapy/scrapy,1579,3,0.0
https://github.com/scrapy/scrapy,1581,7,0.0
https://github.com/scrapy/scrapy,1597,5,0.0
https://github.com/scrapy/scrapy,1610,7,0.0
https://github.com/scrapy/scrapy,1674,5,0.009999999999999787
