URL,PullNo,Participants,CCN,LOC,Tokens,Functions
https://github.com/httpie/httpie,45,2,0.0,0.22222222222222263,1.222222222222219,0.0
https://github.com/httpie/httpie,171,2,-0.0384615384615383,-0.2307692307692299,-1.3461538461538538,0
https://github.com/httpie/httpie,568,5,0.0,0.0,0.0,0.0
https://github.com/httpie/httpie,739,3,0.01917888563049849,0.0002704463994787104,0.22338872596936737,0.0
https://github.com/httpie/httpie,927,2,0.0,0.0,1.75,0.0
https://github.com/httpie/httpie,929,3,-0.06688034188034185,0.06581196581196602,0.9179487179487165,-0.5
https://github.com/httpie/httpie,932,3,0.01734705353126395,1.160706252811515,7.8348234367971195,-3.5
https://github.com/httpie/httpie,1029,3,0.0,0.0499999999999989,0.2000000000000028,0
https://github.com/httpie/httpie,1094,4,0.03507051943584448,-0.15775713794289672,-2.4640522875817004,0.2
https://github.com/httpie/httpie,1175,5,0.0,0.0,0.2045045045045081,0.0
https://github.com/httpie/httpie,1226,4,0.015625,0.020833333333333377,0.25,0.0
https://github.com/httpie/httpie,1238,3,-2.0454545454545454,-4.090909090909091,-26.363636363636363,-0.5
https://github.com/httpie/httpie,1241,3,0.3055555555555558,2.472222222222221,11.0,-3
https://github.com/httpie/httpie,1244,3,0.0,0.0,-0.0526315789473699,0
https://github.com/httpie/httpie,1256,5,-0.041410256410256446,-0.04814102564102573,-0.11897435897435749,-0.25
https://github.com/httpie/httpie,1260,3,0.0162037037037037,0.15972222222222202,0.5601851851851857,-0.6666666666666666
